Display Text,URL
"All
policies in an alphabetical list - Dorset Council",https://www.dorsetcouncil.gov.uk/policies-and-strategies-library/all-policies-in-an-alphabetical-list
20 Mile Per Hour (mph) Policy,https://www.dorsetcouncil.gov.uk/w/20-mile-per-hour-mph-policy
A-Board Advertising Signs Policy,https://www.dorsetcouncil.gov.uk/w/a-board-advertising-signs-policy
Accessibility Strategy 2022 to 2025,https://www.dorsetcouncil.gov.uk/w/accessibility-strategy-2022-to-2025
"Accommodation
with Support Programme. A programme within the transformation, investment and
reform programme",https://www.dorsetcouncil.gov.uk/w/accommodation-with-support-programme-a-programme-within-the-transformation-investment-reform-programme
Admission Arrangements for Community and Voluntary Controlled Schools in Dorset Council 2024 to 2025,https://www.dorsetcouncil.gov.uk/w/admission-arrangements-for-community-and-voluntary-controlled-schools-in-dorset-council-2024-2025
Admission Arrangements for Community and Voluntary Controlled Schools in Dorset Council 2026 to 2027,https://www.dorsetcouncil.gov.uk/w/admission-arrangements-for-community-and-voluntary-controlled-schools-in-dorset-council-2026-to-2027
 of Armed Forces Community Children Policy 2024 to 2025,https://www.dorsetcouncil.gov.uk/w/admission-of-armed-forces-community-children-policy-2024-2025-1
"Admission
of Armed Forces Community Children Policy 2025 to 2026",https://www.dorsetcouncil.gov.uk/w/dorset-council-admission-of-armed-forces-community-children-policy-2025-2026
Admission of Armed Forces Community Children Policy 2026 to 2027,https://www.dorsetcouncil.gov.uk/w/admission-of-armed-forces-community-children-policy-2026-to-2027
Adopted Highway Policy,https://www.dorsetcouncil.gov.uk/w/adopted-highway-policy
Adult Services Complaints Policy and Procedure,https://www.dorsetcouncil.gov.uk/w/dorset-council-adult-services-complaints-policy-and-procedure
Anti Money Laundering Policy 2022 to 2025,https://www.dorsetcouncil.gov.uk/w/anti-money-laundering-policy-2022-to-2025
Anti-bullying Strategy,https://www.dorsetcouncil.gov.uk/w/anti-bullying-strategy-1
"Anti-Fraud, Corruption and Bribery Strategy 2022 to 2025",https://www.dorsetcouncil.gov.uk/w/anti-fraud-corruption-and-bribery-strategy-2022
Archaeological Fieldwork on Dorset Council Land Policy,https://www.dorsetcouncil.gov.uk/w/archaeological-fieldwork-on-dorset-council-land-policy
"Art, Statues and Monuments on the Highway Policy 2021",https://www.dorsetcouncil.gov.uk/w/art-statues-and-monuments-on-the-highway-policy-2021
Artz+Sportz+ Supporting children with medical conditions policy,https://www.dorsetcouncil.gov.uk/w/artz-sportz-supporting-children-with-medical-conditions-policy
Attendance Strategy and Plan 2023,https://www.dorsetcouncil.gov.uk/w/dorset-council-attendance-strategy-and-plan-2022
Back or Forward Yearing Policy,https://www.dorsetcouncil.gov.uk/w/back-or-forward-yearing-policy
Belonging Strategy and Plan 2024 to 2027,https://www.dorsetcouncil.gov.uk/w/dorset-belonging-strategy-and-plan-2024-to-2027
Better Commissioning for Better Lives 2023 to 2028,https://www.dorsetcouncil.gov.uk/w/commissioning-for-a-better-life-as-people-age-in-dorset-2023-to-20-1
Blue Badge Car Park Charging Policy revised 2024,https://www.dorsetcouncil.gov.uk/w/blue-badge-car-park-charging-policy-revised-2024
"Bournemouth, Dorset and Poole Multi Agency Safeguarding Adults Policy 2023",https://www.dorsetcouncil.gov.uk/w/bournemouth-dorset-and-poole-multi-agency-safeguarding-adults-policy
"Bournemouth, 
Poole and Dorset Local Transport Plan - Motorcycle Strategy",https://www.dorsetcouncil.gov.uk/w/bournemouth-poole-and-dorset-local-transport-plan-motorcycle-strategy
"Bournemouth, 
Poole and Dorset Local Transport Plan - Cycling Strategy",https://www.dorsetcouncil.gov.uk/w/bournemouth-poole-and-dorset-local-transport-plan-cycling-strategy
"Bournemouth, 
Poole and Dorset Local Transport Plan - Low Carbon Travel Strategy",https://www.dorsetcouncil.gov.uk/w/bournemouth-poole-and-dorset-local-transport-plan-low-carbon-travel-strategy
"Bournemouth, 
Poole and Dorset Local Transport Plan 3",https://www.dorsetcouncil.gov.uk/w/bournemouth-poole-and-dorset-local-transport-plan-3
"Bournemouth, 
Poole and Dorset Local Transport Plan 3 - Road Safety Strategy 2011 to 2026",https://www.dorsetcouncil.gov.uk/w/bournemouth-poole-and-dorset-local-transport-plan-3-road-safety-strategy-2011-to-2026
"Bournemouth, 
Poole and Dorset Local Transport Plan. Accessibility Strategy",https://www.dorsetcouncil.gov.uk/w/bournemouth-poole-and-dorset-local-transport-plan.-accessibility-strategy
"Bournemouth, 
Poole and Dorset Local Transport Plan - Health Strategy",https://www.dorsetcouncil.gov.uk/w/bournemouth-poole-and-dorset-local-transport-plan-health-strategy
"Bournemouth, 
Poole and Dorset Local Transport Plan - Sustainable Modes of Travel to School
Strategy",https://www.dorsetcouncil.gov.uk/w/bournemouth-poole-and-dorset-local-transport-plan-sustainable-modes-of-travel-to-school-strategy
"Bournemouth, 
Poole and Dorset Local Transport Plan 2011 to 2026 Summary",https://www.dorsetcouncil.gov.uk/w/bournemouth-poole-and-dorset-local-transport-plan-2011-to-2026-summary
Bus Service Improvement Plan,https://www.dorsetcouncil.gov.uk/w/bus-service-improvement-plan-1
Capital Strategy 2023 to 2028,https://www.dorsetcouncil.gov.uk/w/capital-strategy-2023-to-2028
Capital Strategy 2024/25-2027/28,https://www.dorsetcouncil.gov.uk/w/capital-strategy-2024/25-2027/28
"Charging and Financial
Assessment Policy 2021",https://www.dorsetcouncil.gov.uk/w/charging-and-financial-assessment-policy-2021
Child Performance Licence Policy,https://www.dorsetcouncil.gov.uk/w/child-performance-licence-policy
Children in Care Policy,https://www.dorsetcouncil.gov.uk/w/children-in-care-policy-1
Children Missing Education Policy,https://www.dorsetcouncil.gov.uk/w/children-missing-education
"Children, Young
People and Families' Plan 2023 to 2033",https://www.dorsetcouncil.gov.uk/w/children-young-people-and-families-plan-2023-to-33
"Children,
Young People and Families' Plan 2023 to 2033 easy read version",https://www.dorsetcouncil.gov.uk/w/children-young-people-and-families-plan-2023-to-2033-easy-read-version
"Civil
Parking Enforcement Policy Dec 2024 – Part II Appeals",https://www.dorsetcouncil.gov.uk/w/civil-parking-enforcement-policy-dec-2024-part-ii-appeals
"Civil
Parking Enforcement Policy, Dec 2024 Part 1: Enforcement",https://www.dorsetcouncil.gov.uk/w/civil-parking-enforcement-policy-dec-2024-part-1-enforcement
"Climate and
Ecological Emergency Strategy and Action Plan",https://www.dorsetcouncil.gov.uk/w/climate-and-ecological-emergency-strategy-and-action-plan
Commercial Strategy,https://www.dorsetcouncil.gov.uk/w/commercial-strategy
"Commissioning
for A Better Life as People Age in Dorset 2023 to 2028",https://www.dorsetcouncil.gov.uk/w/commissioning-for-a-better-life-as-people-age-in-dorset-2023-to-2028
"Commissioning
for A Better Life for Adults in Dorset 2023 to 2028",https://www.dorsetcouncil.gov.uk/w/commissioning-for-a-better-life-for-adults-in-dorset-2023-to-2028
"Commissioning
for A Better Life for Carers in Dorset 2023 to 2028",https://www.dorsetcouncil.gov.uk/w/commissioning-for-a-better-life-for-carers-in-dorset-2023-to-2028
"Community Asset Transfer
Policy 2024 to 2026",https://www.dorsetcouncil.gov.uk/w/community-asset-transfer-policy-2024
"Community
Infrastructure Levy Regulations 2010 (as amended). Exceptional Circumstances
Relief Policy",https://www.dorsetcouncil.gov.uk/w/community-infrastructure-levy-regulations-2010-as-amended-.
"Community
Safety Plan (CSIP) 2020 to 2026 (2024 refresh)",https://www.dorsetcouncil.gov.uk/w/community-safety-plan-csip-2020-2023
"Community Safety
Plan 2023 to 2026 2024/25 Refresh",https://www.dorsetcouncil.gov.uk/w/community-safety-plan-2023-2026-2024/25-refresh
Community Signs Policy,https://www.dorsetcouncil.gov.uk/w/community-signs-policy-1
Consultation and Engagement Policy,https://www.dorsetcouncil.gov.uk/w/consultation-and-engagement-policy
"Controlled Waste Regulations
2012 Policy",https://www.dorsetcouncil.gov.uk/w/controlled-waste-regulations-2012-policy
"Corporate Parenting Strategy
2024 to 2027",https://www.dorsetcouncil.gov.uk/w/corporate-parenting-strategy-2024-to-2027
"Council Tax – Support for Care
Leavers",https://www.dorsetcouncil.gov.uk/w/council-tax-support-for-care-leavers-1
"Council Tax Discretionary
Discounts Policy",https://www.dorsetcouncil.gov.uk/w/council-tax-discretionary-discounts-policy-1
"Council Tax Reduction Scheme
2024 to 2025",https://www.dorsetcouncil.gov.uk/w/council-tax-reduction-scheme-2024-to-2025-1
"Council
Tax Reduction Scheme 2024 to 2025. Schedule 1 - Calculation of the amount of
Council Tax Reduction in accordance with the Discount Scheme",https://www.dorsetcouncil.gov.uk/w/council-tax-reduction-scheme-2024-to-2025.-schedule-1-calculation-of-the-amount-of-council-tax-reduction-in-accordance-with-the-discount-scheme
"Council
Tax Reduction Scheme 2024 to 2025. Schedule 2 - Sums to be disregarded in the
calculation of income other than earnings",https://www.dorsetcouncil.gov.uk/w/council-tax-reduction-scheme-2024-to-2025-schedule-2-sums-to-be-disregarded-in-the-calculation-of-income-other-than-earnings
"Council
Tax Reduction Scheme 2024 to 2025. Schedule 3 - Capital to be disregarded",https://www.dorsetcouncil.gov.uk/w/council-tax-reduction-scheme-2024-to-2025-schedule-3-capital-to-be-disregarded
"Council
Tax Reduction Scheme 2024 to 2025. Schedule 4 - Amounts to be disregarded from
earnings",https://www.dorsetcouncil.gov.uk/w/council-tax-reduction-scheme-2024-to-2025-schedule-4-amounts-to-be-disregarded-from-earnings.
"Council Tax Reduction Scheme
2025 to 2026",https://www.dorsetcouncil.gov.uk/w/council-tax-reduction-scheme-2025-to-2026
"County Farm Estate
Management Plan 2016 to 2021",https://www.dorsetcouncil.gov.uk/w/county-farm-estate-management-plan-2016-to-2021
"Cranborne
Chase Area of Outstanding Natural Beauty (AONB) Management Plan 2019 to 2024",https://www.dorsetcouncil.gov.uk/w/cranborne-chase-area-of-outstanding-natural-beauty-aonb-management-plan-2019-2024
Cultural Strategy 2021 to 2026,https://www.dorsetcouncil.gov.uk/w/cultural-strategy-2021-to-2026
Customer Strategy and Delivery Plan,https://www.dorsetcouncil.gov.uk/w/customer-strategy-and-delivery-plan
"Data and Business
Intelligence Strategy 2023 to 2028",https://www.dorsetcouncil.gov.uk/w/data-and-business-intelligence-strategy-2023-2028
"Data
and Business Intelligence Strategy 2023 to 2028 Executive Summary",https://www.dorsetcouncil.gov.uk/w/data-and-business-intelligence-strategy-2023-to-2028-executive-summary
Data Sharing Policy,https://www.dorsetcouncil.gov.uk/w/data-sharing-policy
"Deferred Payment Agreements
Policy 2015",https://www.dorsetcouncil.gov.uk/w/deferred-payment-agreements-policy-2015
"Development
Management Local Enforcement Plan 2024",https://www.dorsetcouncil.gov.uk/w/development-management-local-enforcement-plan-2024
Digital Strategy 2020 to 2024,https://www.dorsetcouncil.gov.uk/w/digital-strategy-2020-to-2024
"Direct Payments Policy
2022 (refreshed 2023)",https://www.dorsetcouncil.gov.uk/w/individual-service-funds-poli-1
"Disclosure
and Barring Service Checks for Councillors Policy",https://www.dorsetcouncil.gov.uk/w/disclosure-barring-service-checks-for-councillors-policy
"Discretionary Housing
Payments 2023 to 2026",https://www.dorsetcouncil.gov.uk/w/discretionary-housing-payments-2023-to-2026
Discretionary Rates Relief Policy,https://www.dorsetcouncil.gov.uk/w/discretionary-rates-relief-policy-1
"Disposable BBQ and
Campfire/Wildfire Policy",https://www.dorsetcouncil.gov.uk/w/disposable-bbq-and-campfire/wildfire-policy
"Domestic Abuse Strategy 2021 to
2024",https://www.dorsetcouncil.gov.uk/w/domestic-abuse-strategy-2021-2024-1
"Dorset and
BCP Safeguarding Adults Board Complaints Policy",https://www.dorsetcouncil.gov.uk/w/dorset-bcp-safeguarding-adults-board-complaints-policy
"Dorset
and BCP Safeguarding Adults Boards Communication and Engagement Strategy",https://www.dorsetcouncil.gov.uk/w/dorset-bcp-safeguarding-adults-boards-communication-and-engagement-strategy
"Dorset
and Bournemouth, Christchurch and Poole Mineral Sites Plan",https://www.dorsetcouncil.gov.uk/w/dorset-and-bournemouth-christchurch-and-poole-mineral-sites-plan
"Dorset
Area of Outstanding Natural Beauty Management Plan 2019 to 2024",https://www.dorsetcouncil.gov.uk/w/dorset-area-of-outstanding-natural-beauty-management-plan-2019-2024
"Dorset Co-ordinated
Admission Scheme 2025 to 2026",https://www.dorsetcouncil.gov.uk/w/dorset-co-ordinated-admission-scheme-2025-2026
"Dorset Co-ordinated
Admission Scheme 2026 to 2027",https://www.dorsetcouncil.gov.uk/w/dorset-co-ordinated-admission-scheme-2026-to-2027
Dorset Coast Strategy 2023 to 2026,https://www.dorsetcouncil.gov.uk/w/dorset-coast-strategy
"Dorset
Community Safety Partnership (CSP) Serious Violence Strategy",https://www.dorsetcouncil.gov.uk/w/dorset-csp-serious-violence-strategy
"Dorset
Council Blue Badge Car Park Charging Policy 2023 to 2024",https://www.dorsetcouncil.gov.uk/w/dorset-council-blue-badge-car-park-charging-policy-2023
Dorset Council Car Parking Policies,https://www.dorsetcouncil.gov.uk/w/dorset-council-car-parking-policies
"Dorset Council
Children’s Commissioning Strategy",https://www.dorsetcouncil.gov.uk/w/dorset-council-children-s-commissioning-strategy-1
"Dorset Council Criminal
Conviction Policy",https://www.dorsetcouncil.gov.uk/w/dorset-council-criminal-conviction-policy
Dorset Council Digital Vision,https://www.dorsetcouncil.gov.uk/w/dorset-council-digital-vision
"Dorset
Council draft housing allocation scheme 2026 to 2031",https://www.dorsetcouncil.gov.uk/w/dorset-council-draft-housing-allocation-scheme-2026-to-2031
"Dorset
Council Enforcement Policy and Enforcement Procedures and Guidelines",https://www.dorsetcouncil.gov.uk/w/dorset-waste-partnership-enforcement-policy-and-enforcement-procedures-and-guidelines
"Dorset Council Harbours
Strategy 2022 to 2032",https://www.dorsetcouncil.gov.uk/w/dorset-council-harbours-strategy-2022-to-2032
"Dorset
Council Housing Allocations Policy 2021 to 2026. Revised August 2024",https://www.dorsetcouncil.gov.uk/w/dorset-council-housing-allocations-policy-2021-to-2026-revised-august-2024-duplicate-3
"Dorset Council Libraries
Noticeboard Policy",https://www.dorsetcouncil.gov.uk/w/dorset-council-libraries-noticeboard-policy-3
"Dorset Council Management of
Trees Policy",https://www.dorsetcouncil.gov.uk/w/dorset-council-management-of-trees-policy
Dorset Council Plan 2022 to 2024,https://www.dorsetcouncil.gov.uk/w/dorset-council-plan-2022-to-2024
"Dorset Council
Pollinators Action Plan 2019 to 2024",https://www.dorsetcouncil.gov.uk/w/dorset-council-pollinators-action-plan-2019-2024
"Dorset Council Productivity
Plan 2024/2025",https://www.dorsetcouncil.gov.uk/w/dorset-council-productivity-plan-2024/25
Dorset CouncilSocial MediaAcceptable Use Policy,https://www.dorsetcouncil.gov.uk/w/dorset-council-social-media-acceptable-use-policy
"Dorset Council
Transformation Plan 2025 to 2029",https://www.dorsetcouncil.gov.uk/w/dorset-council-transformation-plan-2025-to-2029
Dorset Council Waste Strategy 2024,https://www.dorsetcouncil.gov.uk/w/dorset-council-waste-strategy-2024
"Dorset Council Whole
Authority Complaints Policy",https://www.dorsetcouncil.gov.uk/w/dorset-council-whole-authority-complaints-policy-1
"Dorset
Extra Care Housing Strategic Statement 2024 to 2039 - Summary",https://www.dorsetcouncil.gov.uk/w/dorset-extra-care-housing-strategic-statement-2024-39-summary
"Dorset Heathlands Framework
2020 to 2025",https://www.dorsetcouncil.gov.uk/w/dorset-heathlands-framework-2020-to-2025
"Dorset
Heathlands Interim Air Quality Strategy 2020 to 2025",https://www.dorsetcouncil.gov.uk/w/dorset-heathlands-interim-air-quality-strategy-2020-to-2025
Dorset Highways Maintenance Plan,https://www.dorsetcouncil.gov.uk/w/dorset-highways-maintenance-plan-constitution
"Dorset History
Centre - Access in Constitution Policy",https://www.dorsetcouncil.gov.uk/w/access-in-constitution-policy
"Dorset History Centre -
Acquisition Policy",https://www.dorsetcouncil.gov.uk/w/acquisition-policy
"Dorset
History Centre - Collections Care and Conservation Policy 2020 to 2023",https://www.dorsetcouncil.gov.uk/w/collections-care-conservation-policy-2020-to-2023
"Dorset History
Centre - Collections Development Policy",https://www.dorsetcouncil.gov.uk/w/collections-development-policy
"Dorset History
Centre - Digital Preservation Policy",https://www.dorsetcouncil.gov.uk/w/digital-preservation-policy
"Dorset History Centre -
Digitisation Policy",https://www.dorsetcouncil.gov.uk/w/digitisation-policy
"Dorset
History Centre - Learning and Public Engagement Policy",https://www.dorsetcouncil.gov.uk/w/learning-and-public-engagement-policy
"Dorset History Centre -
Preservation Policy",https://www.dorsetcouncil.gov.uk/w/preservation-policy
"Dorset History Centre -
Volunteer Policy",https://www.dorsetcouncil.gov.uk/w/volunteer-policy
"Dorset
Libraries Service Collection Development Policy 2024",https://www.dorsetcouncil.gov.uk/w/dorset-libraries-service-collection-development-policy-2024
"Dorset Library Strategy
progress 2024 to 2025",https://www.dorsetcouncil.gov.uk/w/dorset-library-strategy-progress-2024-2025
Dorset Local Industrial Strategy,https://www.dorsetcouncil.gov.uk/w/dorset-local-industrial-strategy
"Dorset Mariculture Strategy
2020 to 2025",https://www.dorsetcouncil.gov.uk/w/dorset-mariculture-strategy-2020-to-2025
Dorset Minerals Strategy,https://www.dorsetcouncil.gov.uk/w/dorset-minerals-strategy
"Dorset Police
and Crime Panel Complaints Protocol 2023",https://www.dorsetcouncil.gov.uk/w/dorset-police-and-crime-panel-complaints-protocol-2023
"Dorset
Rights of Way Improvement Plan (RoWIP) 2011 to 2021",https://www.dorsetcouncil.gov.uk/w/dorset-rights-of-way-improvement-plan-rowip-2011-2021
"Dorset
Safeguarding Adults Board and Bournemouth, Christchurch & Poole
Safeguarding Adults Board. Safeguarding Adults Review Policy",https://www.dorsetcouncil.gov.uk/w/dorset-safeguarding-adults-board-and-bournemouth-christchurch-poole-safeguarding-adults-board-safeguarding-adults-review-policy
"Dorset
Strategic Road Safety Partnership Strategy 2021 to 2030",https://www.dorsetcouncil.gov.uk/w/dorset-strategic-road-safety-partnership-strategy-2021-2030-1
Dorset Waste Plan to 2033,https://www.dorsetcouncil.gov.uk/w/dorset-waste-plan
"Dorset's Economic Growth
Strategy 2020 to 2024",https://www.dorsetcouncil.gov.uk/w/dorset-s-economic-growth-strategy-2020-to-2024
"Dorset's
Extra Care Housing Strategic Statement 2024 to 2039",https://www.dorsetcouncil.gov.uk/w/dorset-s-extra-care-housing-strategic-statement-2024-2039
"Dorset’s
Digital Infrastructure and Inclusion Strategy 2023 to 2030",https://www.dorsetcouncil.gov.uk/w/dorset-s-digital-infrastructure-and-inclusion-strategy-2023-to-2030
"Draft
Pleasure Boat, Vessel and Boatperson Licensing Policy",https://www.dorsetcouncil.gov.uk/w/draft-pleasure-boat-vessel-and-boatperson-licensing-policy
Education Strategy 2024 to 2027,https://www.dorsetcouncil.gov.uk/w/education-strategy-2024-2027
"Electric Vehicle Strategy 2021
to 2023",https://www.dorsetcouncil.gov.uk/w/electric-vehicle-strategy-2021-to-2023-1
"Eligibility
and Assessment Criteria of the Adult Policy 2023",https://www.dorsetcouncil.gov.uk/w/eligibility-and-assessment-criteria-of-the-adult-policy-2023
"Environmental
Enforcement Procedures and Guidelines",https://www.dorsetcouncil.gov.uk/w/environmental-enforcement-procedures-and-guidelines
"Equality,
Diversity and Inclusion Strategy 2021 to 2024",https://www.dorsetcouncil.gov.uk/w/equality-diversity-and-inclusion-strategy-2021-2024-1
"Equality, Diversity and
Inclusion Policy",https://www.dorsetcouncil.gov.uk/w/equality-diversity-inclusion-policy
"Equality,
Diversity and Inclusion Strategy and Action Plan 2024 to 2027",https://www.dorsetcouncil.gov.uk/w/equality-diversity-and-inclusion-strategy-and-action-plan-2024-to-2027
"Errata
- Interim Mitigation Strategy for Heathland Habitat Sites (2018/19 to 2023/24)",https://www.dorsetcouncil.gov.uk/w/errata-interim-mitigation-strategy-for-heathland-habitat-sites-2018/19-to-2023/24-
Family and Friends Care Policy,https://www.dorsetcouncil.gov.uk/w/family-and-friends-care-policy
Fees and Charges Policy 2023,https://www.dorsetcouncil.gov.uk/w/fees-and-charges-policy-2023
"General Statement of
Enforcement Policy",https://www.dorsetcouncil.gov.uk/w/general-statement-of-enforcement-policy
Generic Enforcement Policies,https://www.dorsetcouncil.gov.uk/w/generic-enforcement-policies
"Guidance
on the Placement of a Pupil Outside their Chronological Age Group: 2024 to 2025",https://www.dorsetcouncil.gov.uk/w/dorset-council-guidance-on-the-placement-of-a-pupil-outside-their-chronological-age-group-2024-to-2025
Hardship Rates Relief Policy,https://www.dorsetcouncil.gov.uk/w/hardship-rates-relief-policy-1
"Health and Wellbeing
Strategy 2020 to 2023",https://www.dorsetcouncil.gov.uk/w/health-and-wellbeing-strategy-2020-to-2023
Highway Improvements Schemes Policy,https://www.dorsetcouncil.gov.uk/w/dorset-council-highway-improvements-schemes-policy-1
"Highways Asset
Management Policy and Strategy 2022",https://www.dorsetcouncil.gov.uk/w/highways-asset-management-policy-and-strategy-2022
"Highways Verge Management Policy
2023",https://www.dorsetcouncil.gov.uk/w/highways-verge-management-poli-1
Highways Working Together Policy,https://www.dorsetcouncil.gov.uk/w/highways-working-together-policy-1
"Home to School Transport
Policy 2024 to 2025",https://www.dorsetcouncil.gov.uk/w/home-to-school-transport-policy-2024-to-2025
"Homelessness and
Rough Sleeping Strategy 2021 to 2026",https://www.dorsetcouncil.gov.uk/w/homelessness-rough-sleeping-strategy-2021-to-2026
"Household Recycling Centre
Charges Policy",https://www.dorsetcouncil.gov.uk/w/household-recycling-centre-charges-policy
"Household Recycling Centre Site
Policy",https://www.dorsetcouncil.gov.uk/w/household-recycling-centre-site-policy-1
"Household
Recycling Centres (HRC) Vehicle Access Policy",https://www.dorsetcouncil.gov.uk/w/household-recycling-centres-hrc-vehicle-access-policy
"Houses in
Multiple Occupation (HMO) Licence Fees Policy",https://www.dorsetcouncil.gov.uk/w/houses-in-multiple-occupation-hmo-licence-fees-policy
"Houses in
Multiple Occupation (HMO) License Fees 2023",https://www.dorsetcouncil.gov.uk/w/houses-in-multiple-occupation-hmo-license-fees-2023
"Houses in Multiple
Occupation Amenity Standards 2023",https://www.dorsetcouncil.gov.uk/w/houses-in-multiple-occupation-amenity-standards-2023
"Housing General
Statement of Enforcement Policy",https://www.dorsetcouncil.gov.uk/w/housing-general-statement-of-enforcement-policy
"Housing
Standards Enforcement Policy and Statement of Principles for Determining
Financial Penalties - October 2023",https://www.dorsetcouncil.gov.uk/w/housing-standards-enforcement-policy-and-statement-of-principles-for-determining-financial-penalties-october-2023
"Housing Strategy January
2024 to January 2029",https://www.dorsetcouncil.gov.uk/w/housing-strategy-january-2024-january-2029
"How
Are We Doing? - Your guide to making a comment, compliment or complaint",https://www.dorsetcouncil.gov.uk/w/how-are-we-doing-your-guide-to-making-a-comment-compliment-or-complaint
"In Year
Co-ordinated Admissions Scheme 2025 to 2026",https://www.dorsetcouncil.gov.uk/w/in-year-co-ordinated-admissions-scheme-2025-to-2026
"In Year
Co-ordinated Admissions Scheme 2026 to 2027",https://www.dorsetcouncil.gov.uk/w/in-year-co-ordinated-admissions-scheme-2026-to-2027
Individual Service Funds Policy,https://www.dorsetcouncil.gov.uk/w/individual-service-funds-policy
"Infant
Feeding and Child Nutrition Strategy​2024​",https://www.dorsetcouncil.gov.uk/w/infant-feeding-and-child-nutrition-strategy-2024-
Information Governance Policy 2024,https://www.dorsetcouncil.gov.uk/w/information-governance-policy-2024
"Interim
Strategy for Mitigating the Effects of Recreational Pressure on the Chesil
Beach and the Fleet SAC, SPA and Ramsar",https://www.dorsetcouncil.gov.uk/w/interim-strategy-for-mitigating-the-effects-of-recreational-pressure-on-the-chesil-beach-and-the-fleet-sac-spa-and-ramsar
"Joint Municipal
Waste Strategy for Dorset 2008 to 2033",https://www.dorsetcouncil.gov.uk/w/joint-municipal-waste-strategy-for-dorset-2008-2033
Joint Tenancy Strategy 2012 to 2015,https://www.dorsetcouncil.gov.uk/w/joint-tenancy-strategy-2012-to-2015
"Jurassic Coast Partnership
Plan 2020 to 2025",https://www.dorsetcouncil.gov.uk/w/jurassic-coast-partnership-plan-2020-to-2025
"Licensing Policy for Sex
Establishments",https://www.dorsetcouncil.gov.uk/w/licensing-policy-for-sex-establishments
Local Transport Plan 2011 to 2026,https://www.dorsetcouncil.gov.uk/w/local-transport-plan-3-1
"Maintained Nursery Units
Policy 2024 to 2025",https://www.dorsetcouncil.gov.uk/w/maintained-nursery-units-policy-2024-2025-1
"Maintained Nursery Units
Policy 2025 to 2026",https://www.dorsetcouncil.gov.uk/w/dorset-council-maintained-nursery-units-policy-2025-2026
"Maintained Nursery Units
Policy 2026 to 2027",https://www.dorsetcouncil.gov.uk/w/maintained-nursery-units-policy-2026-to-2027-1
"Managing Customer Behaviour
Protocol",https://www.dorsetcouncil.gov.uk/w/managing-unreasonable-customer-behaviour-protocol-2024
Minerals Planning Policy,https://www.dorsetcouncil.gov.uk/w/minerals-planning-policy
"Modern Slavery
Transparency Statement 2022 to 2023",https://www.dorsetcouncil.gov.uk/w/modern-slavery-transparency-statement
"Modern Slavery
Transparency Statement 2023 to 2024",https://www.dorsetcouncil.gov.uk/w/modern-slavery-transparency-statement-2023-2024
"National
Bus Strategy Transport Act 2000 Enhanced Partnership Plan and Scheme",https://www.dorsetcouncil.gov.uk/w/national-bus-strategy-transport-act-2000-enhanced-partnership-plan-and-scheme
"Natural
Environment, Climate and Ecology Action Plan 2023 to 2025",https://www.dorsetcouncil.gov.uk/w/natural-environment-climate-ecology-action-plan-2023-to-2025
"Natural
Environment, Climate and Ecology Strategy 2023 to 25 Refresh",https://www.dorsetcouncil.gov.uk/w/natural-environment-climate-ecology-strategy-2023-25-refresh
New Directory Record Entry Policy,https://www.dorsetcouncil.gov.uk/w/new-directory-record-entry-policy-1
Nursery Childcare Fee Policy 2024,https://www.dorsetcouncil.gov.uk/w/nursery-childcare-fee-policy-2024
Nutritional Care Strategy,https://www.dorsetcouncil.gov.uk/w/nutritional-care-strategy
"On Street Parking Enforcement
Policy",https://www.dorsetcouncil.gov.uk/w/on-street-parking-enforcement-policy
"Pan Dorset
Reducing Reoffending Strategy 2018 to 2021",https://www.dorsetcouncil.gov.uk/w/pan-dorset-reducing-reoffending-strategy-2018-2021-1
"Pan-Dorset
Reducing Reoffending Strategy 2024 to 2027",https://www.dorsetcouncil.gov.uk/w/pan-dorset-reducing-reoffending-strategy-2024-2027-1
Park Homes Fees Policy,https://www.dorsetcouncil.gov.uk/w/park-homes-fees-policy
Pay Policy Statement 2024 to 2025,https://www.dorsetcouncil.gov.uk/w/pay-policy-statement-2023/24
Pedestrian Dropped Kerbs Policy,https://www.dorsetcouncil.gov.uk/w/pedestrian-dropped-kerbs-policy
"Penalty Charge Notice
(PCN) Cancellation Policy",https://www.dorsetcouncil.gov.uk/w/penalty-charge-notice-pcn-cancellation-policy
"People and Culture Strategy
2025 to 2029",https://www.dorsetcouncil.gov.uk/w/people-and-culture-strategy-2025-to-2029
Physical Activity Strategy,https://www.dorsetcouncil.gov.uk/w/physical-activity-strategy
"Placement
Sufficiency Strategy for Children in Care and Care Leavers 2024 to 2027",https://www.dorsetcouncil.gov.uk/w/placement-sufficiency-strategy-for-children-in-care-and-care-leavers-2024-to-2027
Planning Policy,https://www.dorsetcouncil.gov.uk/w/planning-policy
"Policy
for the use of AI, Automation & Algorithmic Data Processing in Dorset
Council",https://www.dorsetcouncil.gov.uk/w/policy-for-the-use-of-ai-automation-algorithmic-data-processing-in-dorset-council
